image,fichier_origine,source_lien,licence
drone_0104.jpg,WM_MQ9_Reaper_202.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624866).jpg,Public domain
drone_0105.jpg,WM_MQ9_Reaper_203.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624867).jpg,Public domain
drone_0106.jpg,WM_MQ9_Reaper_204.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624869).jpg,Public domain
drone_0107.jpg,WM_MQ9_Reaper_205.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624870).jpg,Public domain
drone_0108.jpg,WM_MQ9_Reaper_206.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624872).jpg,Public domain
drone_0109.jpg,WM_MQ9_Reaper_207.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624873).jpg,Public domain
drone_0110.jpg,WM_MQ9_Reaper_208.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624956).jpg,Public domain
drone_0111.jpg,WM_MQ9_Reaper_209.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Makes_History_in_NATO%E2%80%99s_Formidable_Shield_2025_Exercise_(9089900).jpg,Public domain
drone_0112.jpg,WM_MQ9_Reaper_210.jpg,https://commons.wikimedia.org/wiki/File:163d_Attack_Wing_Converts_Reapers_into_Hunter-Killers_of_Wildfire.jpg,Public domain
drone_0113.jpg,WM_MQ9_Reaper_211.jpg,https://commons.wikimedia.org/wiki/File:174_ATKW.jpg,Public domain
drone_0114.jpg,WM_MQ9_Reaper_212.jpg,https://commons.wikimedia.org/wiki/File:174th_ATKW_MQ-9_Reaper.jpg,Public domain
drone_0115.jpg,WM_MQ9_Reaper_214.jpg,https://commons.wikimedia.org/wiki/File:210203-F-DB163-1065.jpg,Public domain
drone_0116.jpg,WM_MQ9_Reaper_215.jpg,https://commons.wikimedia.org/wiki/File:210204-F-DB163-1048.jpg,Public domain
drone_0117.jpg,WM_MQ9_Reaper_216.jpg,https://commons.wikimedia.org/wiki/File:210204-F-DB163-1132.jpg,Public domain
drone_0118.jpg,WM_MQ9_Reaper_217.jpg,https://commons.wikimedia.org/wiki/File:210204-F-DB163-3062.jpg,Public domain
drone_0119.jpg,WM_MQ9_Reaper_219.jpg,"https://commons.wikimedia.org/wiki/File:230430-F-UB655-0697_-_AFSOC,_Total_Force_landed_MC-130J,_MQ-9,_A-10s,_MH-6s_on_Wyoming_Highways.jpg",Public domain
drone_0120.jpg,WM_MQ9_Reaper_220.jpg,https://commons.wikimedia.org/wiki/File:231013-F-VQ804-9137.jpg,Public domain
drone_0121.jpg,WM_MQ9_Reaper_221.jpg,https://commons.wikimedia.org/wiki/File:306_Squadron_NATO_Unified_Vision.jpg,CC0
drone_0122.jpg,WM_MQ9_Reaper_223.jpg,https://commons.wikimedia.org/wiki/File:306sqn_Reaper_Hancock_ANGB-3.jpg,CC0
drone_0123.jpg,WM_RQ4_GlobalHawk_017.jpg,"https://commons.wikimedia.org/wiki/File:010513-N-FF838-007_--_EXERCISE_TANDEM_THRUST_2001,_ADELAIDE,_Australia_--_The_Global_Hawk_is_prepared_after_preflight_checks_for_its_twenty_four_hour_mission_out_of_Edinburgh_Air_Force_Base_in_Adelaide,_South_010513-N-FF838-007.jpg",Public domain
drone_0124.jpg,WM_RQ4_GlobalHawk_018.jpg,https://commons.wikimedia.org/wiki/File:101123-F-4684K-688_(5218339605).jpg,Public domain
drone_0125.jpg,WM_RQ4_GlobalHawk_019.jpg,https://commons.wikimedia.org/wiki/File:13th_Reconnaissance_Squadron_RQ-9_Global_Hawk.jpg,Public domain
drone_0126.jpg,WM_RQ4_GlobalHawk_020.jpg,https://commons.wikimedia.org/wiki/File:348th_Reconnaissance_Squadron_RQ-4.jpg,Public domain
drone_0127.jpg,WM_RQ4_GlobalHawk_021.jpg,https://commons.wikimedia.org/wiki/File:380thairexpeditionarygroup-RQ-4.jpg,Public domain
drone_0128.jpg,WM_RQ4_GlobalHawk_022.jpg,"https://commons.wikimedia.org/wiki/File:Air_Force_Operational_Test_and_Evaluation_Center,_Detachment_5_with_RQ-4_Global_Hawk.jpg",Public domain
drone_0129.jpg,WM_RQ4_GlobalHawk_023.jpg,https://commons.wikimedia.org/wiki/File:An_RQ-4_Global_Hawk_awaits_standard_maintenance_while_a_heavy_fog_rolls_across_(32044647560).jpg,Public domain
drone_0130.jpg,WM_RQ4_GlobalHawk_024.jpg,https://commons.wikimedia.org/wiki/File:Backlit_RQ-4_in_the_dark.jpg,Public domain
